STATE,daily_total,daily_matched,ann_total,ann_matched,daily_match_pct,ann_match_pct
1-,3,0,0,0,0.0,
se,1,0,0,0,0.0,
sa,1,0,0,0,0.0,
s,1,0,0,0,0.0,
nt,1,0,0,0,0.0,
ne,1,0,0,0,0.0,
ma,1,0,0,0,0.0,
d,1,0,0,0,0.0,
XX,61,0,0,0,0.0,
W,1,0,0,0,0.0,
VY,1,0,0,0,0.0,
T,2,0,0,0,0.0,
S,1,0,0,0,0.0,
t,1,0,0,0,0.0,
N,3,0,0,0,0.0,
M,1,0,0,0,0.0,
,34,0,269,0,0.0,0.0
3-,3,0,0,0,0.0,
DC,323,0,0,0,0.0,
2-,7,0,0,0,0.0,
:,1,0,0,0,0.0,
B,1,0,0,0,0.0,
4-,2,0,0,0,0.0,
I,2,0,0,0,0.0,
WA,988,514,750,487,52.02,64.93
CA,1630,966,1480,876,59.26,59.19
RI,389,243,335,216,62.47,64.48
NV,1167,745,849,635,63.84,74.79
ID,2453,1581,1956,1436,64.45,73.42
MS,18281,11821,15796,10789,64.66,68.3
AL,19901,13038,17412,12457,65.51,71.54
OR,1049,688,939,664,65.59,70.71
GA,22829,15931,19946,14922,69.78,74.81
LA,9986,7047,9363,6797,70.57,72.59
MO,24078,17079,22966,16480,70.93,71.76
MI,10200,7332,9765,7348,71.88,75.25
NC,22269,16476,19343,15517,73.99,80.22
AZ,3456,2561,3304,2282,74.1,69.07
TN,16154,12136,16270,11798,75.13,72.51
WI,11430,8600,12477,8400,75.24,67.32
UT,2175,1639,2015,1575,75.36,78.16
OH,17212,12982,17494,12600,75.42,72.02
IL,20975,15830,21147,15043,75.47,71.14
AR,12499,9520,14114,9608,76.17,68.07
FL,12357,9486,12147,9288,76.77,76.46
IN,13799,10599,13972,10363,76.81,74.17
MN,14934,11493,17150,11431,76.96,66.65
SC,15648,12047,15460,11732,76.99,75.89
MA,4569,3530,4294,3322,77.26,77.36
DE,844,661,822,640,78.32,77.86
KY,17376,13647,16734,13214,78.54,78.96
TX,41613,33066,45079,33372,79.46,74.03
WY,4857,3903,5157,3804,80.36,73.76
IA,16820,13567,20023,14278,80.66,71.31
MT,8768,7112,8893,7101,81.11,79.85
ND,8936,7272,9842,7035,81.38,71.48
NE,22389,18222,22584,17387,81.39,76.99
OK,19734,16343,23150,16982,82.82,73.36
MD,7853,6544,6917,5872,83.33,84.89
CT,2077,1732,2150,1697,83.39,78.93
VA,20606,17184,18280,15899,83.39,86.97
NH,2671,2231,2428,2155,83.53,88.76
WV,7171,5992,6998,5694,83.56,81.37
NJ,4637,3915,4801,3817,84.43,79.5
SD,16911,14321,18637,14365,84.68,77.08
KS,32098,27395,36369,28197,85.35,77.53
NM,3962,3439,4734,3415,86.8,72.14
PA,17910,15557,18039,15214,86.86,84.34
ME,3137,2754,3110,2674,87.79,85.98
CO,10686,9612,12305,10081,89.95,81.93
NY,15484,13948,16043,13862,90.08,86.41
VT,1921,1760,2033,1692,91.62,83.23
AK,0,0,36,0,,0.0
AS,0,0,12,0,,0.0
GU,0,0,4,0,,0.0
HI,0,0,47,0,,0.0
PR,0,0,261,0,,0.0
VI,0,0,11,0,,0.0
