YEAR,STATE,daily_total,daily_matched,ann_total,ann_matched,daily_match_pct,ann_match_pct
2005,AL,664,397,888,423,59.79,47.64
2005,AR,526,400,685,418,76.05,61.02
2005,AZ,130,49,147,46,37.69,31.29
2005,CA,119,77,132,77,64.71,58.33
2005,CO,605,496,783,557,81.98,71.14
2005,CT,56,48,58,50,85.71,86.21
2005,DC,6,0,0,0,0.0,
2005,DE,8,3,12,3,37.5,25.0
2005,FL,332,199,389,209,59.94,53.73
2005,GA,728,430,842,415,59.07,49.29
2005,IA,751,550,893,612,73.24,68.53
2005,ID,55,35,88,35,63.64,39.77
2005,IL,739,552,894,569,74.7,63.65
2005,IN,710,462,785,494,65.07,62.93
2005,KS,1721,1392,2231,1638,80.88,73.42
2005,KY,475,334,518,338,70.32,65.25
2005,LA,415,273,460,281,65.78,61.09
2005,MA,96,65,93,67,67.71,72.04
2005,MD,104,77,104,69,74.04,66.35
2005,ME,35,34,61,34,97.14,55.74
2005,MI,531,338,542,342,63.65,63.1
2005,MN,849,479,1267,504,56.42,39.78
2005,MO,1174,963,1347,1030,82.03,76.47
2005,MS,983,491,963,473,49.95,49.12
2005,MT,496,334,582,362,67.34,62.2
2005,NC,438,295,463,292,67.35,63.07
2005,ND,478,340,692,355,71.13,51.3
2005,NE,1195,926,1296,958,77.49,73.92
2005,NH,44,42,56,41,95.45,73.21
2005,NJ,79,48,110,47,60.76,42.73
2005,NM,231,154,263,154,66.67,58.56
2005,NV,24,12,31,11,50.0,35.48
2005,NY,465,361,505,368,77.63,72.87
2005,OH,566,380,653,374,67.14,57.27
2005,OK,980,754,1305,854,76.94,65.44
2005,OR,21,14,32,19,66.67,59.38
2005,PA,514,377,600,378,73.35,63.0
2005,RI,11,5,7,5,45.45,71.43
2005,SC,397,283,491,289,71.28,58.86
2005,SD,924,715,1134,765,77.38,67.46
2005,TN,688,509,804,531,73.98,66.04
2005,TX,1869,1372,2349,1564,73.41,66.58
2005,UT,91,31,75,29,34.07,38.67
2005,VA,381,288,386,284,75.59,73.58
2005,VT,41,36,52,35,87.8,67.31
2005,WA,29,11,38,11,37.93,28.95
2005,WI,665,467,822,484,70.23,58.88
2005,WV,136,95,148,95,69.85,64.19
2005,WY,164,119,166,117,72.56,70.48
2005,AK,0,0,11,0,,0.0
2005,HI,0,0,4,0,,0.0
2005,PR,0,0,1,0,,0.0
2005,,0,0,5,0,,0.0
2006,AL,772,543,863,558,70.34,64.66
2006,AR,740,564,1019,607,76.22,59.57
2006,AZ,156,62,150,59,39.74,39.33
2006,CA,57,22,66,23,38.6,34.85
2006,CO,374,289,477,331,77.27,69.39
2006,CT,100,75,94,79,75.0,84.04
2006,DC,5,0,0,0,0.0,
2006,DE,29,18,34,17,62.07,50.0
2006,FL,395,283,447,292,71.65,65.32
2006,GA,878,529,981,535,60.25,54.54
2006,IA,780,567,1091,621,72.69,56.92
2006,ID,138,69,159,68,50.0,42.77
2006,IL,1503,1036,1796,1080,68.93,60.13
2006,IN,1000,729,1218,781,72.9,64.12
2006,KS,1590,1309,2121,1507,82.33,71.05
2006,KY,1132,798,1233,824,70.49,66.83
2006,LA,397,277,459,275,69.77,59.91
2006,MA,200,138,173,151,69.0,87.28
2006,MD,132,103,155,103,78.03,66.45
2006,ME,185,158,270,177,85.41,65.56
2006,MI,645,439,742,481,68.06,64.82
2006,MN,620,446,833,485,71.94,58.22
2006,MO,1682,1242,2060,1373,73.84,66.65
2006,MS,709,448,782,439,63.19,56.14
2006,MT,353,261,395,282,73.94,71.39
2006,NC,1336,1030,1492,1090,77.1,73.06
2006,ND,396,348,498,357,87.88,71.69
2006,NE,916,739,994,743,80.68,74.75
2006,NH,98,81,134,94,82.65,70.15
2006,NJ,148,89,157,84,60.14,53.5
2006,NM,107,82,143,81,76.64,56.64
2006,NV,20,10,21,9,50.0,42.86
2006,NY,446,372,497,386,83.41,77.67
2006,OH,752,493,895,505,65.56,56.42
2006,OK,1015,779,1235,798,76.75,64.62
2006,OR,123,83,136,97,67.48,71.32
2006,PA,531,368,592,375,69.3,63.34
2006,RI,27,12,22,15,44.44,68.18
2006,SC,878,640,1044,679,72.89,65.04
2006,SD,691,568,823,602,82.2,73.15
2006,TN,1087,755,1189,765,69.46,64.34
2006,TX,1667,1151,1907,1163,69.05,60.99
2006,UT,105,37,68,35,35.24,51.47
2006,VA,582,427,642,439,73.37,68.38
2006,VT,90,80,113,80,88.89,70.8
2006,WA,57,48,64,48,84.21,75.0
2006,WI,622,423,952,454,68.01,47.69
2006,WV,230,179,279,187,77.83,67.03
2006,WY,150,102,135,101,68.0,74.81
2006,HI,0,0,5,0,,0.0
2006,,0,0,3,0,,0.0
2007,AL,506,330,569,322,65.22,56.59
2007,AR,366,306,508,342,83.61,67.32
2007,AZ,95,71,113,74,74.74,65.49
2007,CA,54,40,58,40,74.07,68.97
2007,CO,521,455,662,508,87.33,76.74
2007,CT,80,64,82,66,80.0,80.49
2007,DC,4,0,0,0,0.0,
2007,DE,15,6,20,7,40.0,35.0
2007,FL,599,410,603,423,68.45,70.15
2007,GA,925,546,934,557,59.03,59.64
2007,IA,825,712,1064,817,86.3,76.79
2007,ID,64,48,71,48,75.0,67.61
2007,IL,713,509,809,537,71.39,66.38
2007,IN,470,385,563,409,81.91,72.65
2007,KS,1365,1172,1750,1338,85.86,76.46
2007,KY,651,574,714,586,88.17,82.07
2007,LA,332,245,350,244,73.8,69.71
2007,MA,170,155,221,160,91.18,72.4
2007,MD,165,140,160,137,84.85,85.62
2007,ME,226,201,298,232,88.94,77.85
2007,MI,745,571,908,645,76.64,71.04
2007,MN,744,579,1034,665,77.82,64.31
2007,MO,700,562,851,607,80.29,71.33
2007,MS,652,435,708,429,66.72,60.59
2007,MT,578,420,687,443,72.66,64.48
2007,NC,725,612,848,658,84.41,77.59
2007,ND,435,323,552,328,74.25,59.42
2007,NE,1073,867,1178,869,80.8,73.77
2007,NH,159,148,216,174,93.08,80.56
2007,NJ,115,77,136,78,66.96,57.35
2007,NM,257,193,299,202,75.1,67.56
2007,NV,24,8,21,8,33.33,38.1
2007,NY,690,639,807,674,92.61,83.52
2007,OH,705,522,739,520,74.04,70.37
2007,OK,713,568,894,626,79.66,70.02
2007,OR,40,31,40,29,77.5,72.5
2007,PA,724,641,775,659,88.54,85.03
2007,RI,13,7,8,7,53.85,87.5
2007,SC,526,391,629,404,74.33,64.23
2007,SD,881,747,994,792,84.79,79.68
2007,TN,479,399,538,404,83.3,75.09
2007,TX,1994,1471,2372,1590,73.77,67.03
2007,UT,64,47,61,47,73.44,77.05
2007,VA,678,610,726,635,89.97,87.47
2007,VT,149,142,178,144,95.3,80.9
2007,WA,18,13,23,12,72.22,52.17
2007,WI,582,466,740,485,80.07,65.54
2007,WV,269,214,284,219,79.55,77.11
2007,WY,164,101,163,103,61.59,63.19
2007,AK,0,0,6,0,,0.0
2007,PR,0,0,3,0,,0.0
2007,,0,0,4,0,,0.0
2008,AL,1004,646,1010,681,64.34,67.43
2008,AR,908,686,1103,714,75.55,64.73
2008,AZ,139,100,142,97,71.94,68.31
2008,CA,39,21,39,22,53.85,56.41
2008,CO,422,363,504,410,86.02,81.35
2008,CT,132,108,161,113,81.82,70.19
2008,DC,13,0,0,0,0.0,
2008,DE,26,13,26,13,50.0,50.0
2008,FL,652,521,682,528,79.91,77.42
2008,GA,1293,779,1235,790,60.25,63.97
2008,IA,1332,991,1731,1145,74.4,66.15
2008,ID,72,40,55,36,55.56,65.45
2008,IL,1212,908,1428,956,74.92,66.95
2008,IN,629,507,839,595,80.6,70.92
2008,KS,2141,1692,2817,1943,79.03,68.97
2008,KY,783,561,895,575,71.65,64.25
2008,LA,601,387,599,406,64.39,67.78
2008,MA,385,300,409,310,77.92,75.79
2008,MD,324,252,481,293,77.78,60.91
2008,ME,175,158,216,183,90.29,84.72
2008,MI,667,579,803,620,86.81,77.21
2008,MN,773,657,1052,774,84.99,73.57
2008,MO,1507,1058,1683,1165,70.21,69.22
2008,MS,1313,835,1424,817,63.59,57.37
2008,MT,511,430,563,434,84.15,77.09
2008,NC,1373,1136,1610,1222,82.74,75.9
2008,ND,436,371,516,389,85.09,75.39
2008,NE,1212,973,1330,997,80.28,74.96
2008,NH,165,143,197,160,86.67,81.22
2008,NJ,160,110,210,115,68.75,54.76
2008,NM,218,187,248,196,85.78,79.03
2008,NV,34,23,33,25,67.65,75.76
2008,NY,807,699,1039,780,86.62,75.07
2008,OH,784,488,894,510,62.24,57.05
2008,OK,1418,1125,1853,1303,79.34,70.32
2008,OR,49,41,56,44,83.67,78.57
2008,PA,514,415,592,425,80.74,71.79
2008,RI,30,18,33,20,60.0,60.61
2008,SC,899,700,1207,794,77.86,65.78
2008,SD,906,706,1069,753,77.92,70.44
2008,TN,693,538,748,560,77.63,74.87
2008,TX,1919,1519,2387,1729,79.16,72.43
2008,UT,45,28,30,26,62.22,86.67
2008,VA,1004,880,1228,965,87.65,78.58
2008,VT,94,87,118,90,92.55,76.27
2008,WA,55,43,71,48,78.18,67.61
2008,WI,627,478,754,503,76.24,66.71
2008,WV,368,265,467,300,72.01,64.24
2008,WY,257,192,267,197,74.71,73.78
2008,AK,0,0,3,0,,0.0
2008,HI,0,0,4,0,,0.0
2008,PR,0,0,4,0,,0.0
